Tree species 1.1;Circumference 1.1;DBH 1.1;Tree species 1.2;Circumference 1.2;DBH 1.2;Tree species 1.3;Circumference 1.3;DBH 1.3;Tree species 2.1;Circumference 2.1;DBH 2.1;Tree species 2.2;Circumference 2.2;DBH 2.2;Tree species 2.3;Circumference 2.3;DBH 2.3;Tree species 3.1;Circumference 3.1;DBH 3.1;Tree species 3.2;Circumference 3.2;DBH 3.2;Tree species 3.3;Circumference 3.3;DBH 3.3;Tree species 4.1;Circumference 4.1;DBH 4.1;Tree species 4.2;Circumference 4.2;DBH 4.2;Tree species 4.3;Circumference 4.3;DBH 4.3;Tree species 5.1;Circumference 5.1;DBH 5.1;Tree species 5.2;Circumference 5.2;DBH 5.2;Tree species 5.3;Circumference 5.3;DBH 5.3;Tree species 6.1;Circumference 6.1;Tree species 6.2;Circumference 6.2;Tree species 6.3;Circumference 6.3
Aesculus hippocastanum;77;24.51;Tilia platyphyllos;339;107.91;Catalpa speciosa;174;55.39;Acer platanoides;162;51.57;Fagus sylvatica;43;13.69;Pinus nigra;183;58.25;Prunus avium;108;34.38;Fagus sylvatica;54;17.19;Fagus sylvatica;133;42.34;Fagus sylvatica;125;39.79;Fagus sylvatica;160;50.93;Fagus sylvatica;171;54.43;Pinus nigra;291;92.63;Pinus nigra;167;53.16;Alnus spec.;121;38.52;;;;;;
Aesculus hippocastanum;76;24.19;Tilia platyphyllos;223;70.98;Juglans regia;150;47.75;Fagus sylvatica;59;18.78;Pinus nigra;204;64.94;Fagus sylvatica;187;59.52;Carpinus betulus;105;33.42;Fagus sylvatica;65;20.69;Fagus sylvatica;154;49.02;Fagus sylvatica;227;72.26;Fagus sylvatica;87;27.69;Fagus sylvatica;216;68.75;Tilia cordata;146;46.47;Pinus nigra;100;31.83;Alnus spec.;159;50.61;;;;;;
Aesculus hippocastanum;58;18.46;Caprinus betulus;170;54.11;Acer pseudoplatanus;165;52.52;Pinus nigra;206;65.57;Tilia platyphyllos;24;7.64;Fagus sylvatica;41;13.05;Carpinus betulus;110;35.01;Fagus sylvatica;143;45.52;Fagus sylvatica;42;13.37;Fagus sylvatica;214;68.12;Fagus sylvatica;61;19.42;Fagus sylvatica;24.5;7.8;Acer pseudoplatanus;245;77.99;Fagus sylvatica;255;81.17;Alnus spec.;168;53.48;;;;;;
Acer pseudoplatanus;377;120;Fagus sylvatica;340;108.23;Corylus avellana;300;95.49;Carpinus betulus;43;13.69;Fagus sylvatica;167;53.16;Carpinus betulus;68;21.65;Carpinus betulus;79;25.15;Fagus sylvatica;37;11.78;Fagus sylvatica;117;37.24;Acer platanoides;30;9.55;Fagus sylvatica;72;22.92;Fagus sylvatica;180;57.3;Amelanchier spec.;31;9.87;Fagus sylvatica;396;126.05;Platanus x hispanica;346;110.14;;;;;;
Populus tremuloides;109;34.7;Aesculus hippocastanum;390;124.14;Corylus avellana;280;89.13;Carpinus betulus;63;20.05;Carpinus betulus;41.5;13.21;Fagus sylvatica;178;56.66;Fagus sylvatica;154;49.02;Fagus sylvatica;40;12.73;Fagus sylvatica;123;39.15;Fagus sylvatica;214;68.12;Fagus sylvatica;33;10.5;Fagus sylvatica;46;14.64;Platanus x hispanica;413;131.46;Fagus sylvatica;367;116.82;Taxus baccata;42;13.37;;;;;;
Fraxinus excelsior;216;68.75;Aesculus hippocastanum;343;109.18;Acer pseudoplatanus;469;149.29;Fagus sylvatica;134.5;42.81;Pinus nigra;98;31.19;Pinus nigra;154;49.02;Carpinus betulus;111;35.33;Fagus sylvatica;98;31.19;Fagus sylvatica;30;9.55;Fagus sylvatica;61;19.42;Fagus sylvatica;90;28.65;Quercus petraea;180;57.3;Acer platanoides;274;87.22;Acer pseudoplatanus;279;88.81;Fraxinus excelsior;372;118.41;;;;;;
Acer pseudoplatanus;275;87.54;Aesculus hippocastanum;366;116.5;Cupressacea;175;55.7;Fagus sylvatica;51;16.23;Fagus sylvatica;133;42.34;Fagus sylvatica;109.5;34.85;Carpinus betulus;119;37.88;Larix decidua;150;47.75;Fagus sylvatica;157;49.97;Fagus sylvatica;97;30.88;Fagus sylvatica;59;18.78;Fagus sylvatica;62;19.74;Taxus baccata;75;23.87;Acer pseudoplatanus;170;54.11;Carpinus betulus;142;45.2;;;;;;
Fagus sylvatica;163;51.88;Aesculus hippocastanum;305;97.08;Corylus avellana;350;111.41;Carpinus betulus;47;14.96;Fagus sylvatica;166;52.84;Fagus sylvatica;35.7;11.36;Carpinus betulus;47;14.96;Fagus sylvatica;143;45.52;Carpinus betulus;56;17.83;Fagus sylvatica;166;52.84;Fagus sylvatica;91;28.97;Carpinus betulus;86.5;27.53;Tilia platyphyllos;161;51.25;Tilia cordata;99;31.51;Acer platanoides;300;95.49;;;;;;
Acer pseudoplatanus;222;70.66;Aesculus hippocastanum;379;120.64;Alnus;150;47.75;Pinus nigra;152;48.38;Larix decidua;198;63.03;Fagus sylvatica;185;58.89;Carpinus betulus;98;31.19;Larix decidua;171;54.43;Carpinus betulus;46;14.64;Tilia cordata;116;36.92;Fagus sylvatica;28;8.91;Carpinus betulus;35.5;11.3;Platanus x hispanica;160;50.93;Acer platanoides;239;76.08;Aesculus hippocastanum;233;74.17;;;;;;
Carpinus betulus;125;39.79;Aesculus hippocastanum;411;130.83;Alnus;122;38.83;Carpinus betulus;83.5;26.58;Fagus sylvatica;112;35.65;Fagus sylvatica;35.5;11.3;Carpinus betulus;95;30.24;Fagus sylvatica;180;57.3;Fraxinus excelsior;134;42.65;Fraxinus excelsior;214;68.12;Fagus sylvatica;83;26.42;Carpinus betulus;53;16.87;Quercus robur;305;97.08;Tilia platyphyllos;113;35.97;Quercus robur;326;103.77;;;;;;
Acer pseudoplatanus;330;105.04;Tilia platyphyllos;185;58.89;Platanus x hispanica;258;82.12;Fagus sylvatica;174;55.39;Fagus sylvatica;74;23.55;Fagus sylvatica;200;63.66;Fagus sylvatica;36;11.46;Carpinus betulus;95;30.24;Carpinus betulus;48;15.28;Acer pseudoplatanus;25;7.96;Fagus sylvatica;83;26.42;Carpinus betulus;47;14.96;Tilia cordata;143;45.52;Acer pseudoplatanus;296;94.22;Quercus petraea;242;77.03;;;;;;
;;;Aesculus hippocastanum;352;112.05;Acer pseudoplatanus;160;50.93;Carpinus betulus;82;26.1;Carpinus betulus;54;17.19;Aesculus hippocastanum;71;22.6;Fagus sylvatica;24;7.64;Acer pseudoplatanus;23;7.32;Fagus sylvatica;126;40.11;Acer pseudoplatanus;23;7.32;Fagus sylvatica;90;28.65;Carpinus betulus;26;8.28;Taxus baccata;83;26.42;Acer platanoides;293;93.26;Fraxinus excelsior;334;106.32;;;;;;
;;;Aesculus hippocastanum;360;114.59;;;;Fagus sylvatica;153;48.7;Pinus nigra;205;65.25;;;;Fagus sylvatica;180;57.3;Carpinus betulus;140;44.56;Fagus sylvatica;90;28.65;Fagus sylvatica;210;66.85;Fagus sylvatica;67;21.33;Fagus sylvatica;195;62.07;Pinus nigra;70;22.28;Tilia platyphyllos;148;47.11;Alnus spec.;31;9.87;;;;;;
;;;Tilia cordata;224;71.3;;;;Fagus sylvatica;108;34.38;Carpinus betulus;75;23.87;;;;Prunus avium;96;30.56;Carpinus betulus;29;9.23;Fagus sylvatica;134;42.65;Fraxinus excelsior;188;59.84;Fagus sylvatica;109;34.7;Fagus sylvatica;34;10.82;Tilia platyphyllos;170;54.11;Betula pendula;106;33.74;Alnus spec.;29.5;9.39;;;;;;
;;;;;;;;;Fagus sylvatica;169;53.79;Fagus sylvatica;76.5;24.35;;;;Fagus sylvatica;24;7.64;Carpinus betulus;89;28.33;Carpinus betulus;53;16.87;Acer campestre;31;9.87;Fagus sylvatica;49;15.6;Fagus sylvatica;179;56.98;Pinus nigra;222;70.66;Tilia cordata;145;46.15;Alnus spec.;33;10.5;;;;;;
;;;;;;;;;Fagus sylvatica;165;52.52;Pinus sylvestris;157;49.97;;;;Fraxinus excelsior;149;47.43;Fagus sylvatica;91;28.97;Fagus sylvatica;69;21.96;Larix decidua;213;67.8;Fagus sylvatica;59;18.78;Carpinus betulus;61;19.42;;;;;;;Quercus cerris;40;12.73;;;;;;
;;;;;;;;;Fagus sylvatica;213;67.8;Carpinus betulus;59;18.78;;;;Carpinus betulus;61;19.42;Fagus sylvatica;38;12.1;Sorbus torminalis;123;39.15;;;;Fagus sylvatica;114;36.29;Fagus sylvatica;202;64.3;;;;;;;;;;;;;;;
;;;;;;;;;Fagus sylvatica;159;50.61;Fagus sylvatica;185;58.89;;;;Fagus sylvatica;40;12.73;;;;Fagus sylvatica;79;25.15;;;;Fagus sylvatica;62;19.74;Carpinus betulus;30;9.55;;;;;;;;;;;;;;;
;;;;;;;;;;;;Ulmus glabra;25.5;8.12;;;;Carpinus betulus;47;14.96;;;;;;;;;;Fagus sylvatica;27;8.59;Fagus sylvatica;195;62.07;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Carpinus betulus;48;15.28;;;;;;;;;;Fagus sylvatica;89;28.33;Fagus sylvatica;41;13.05;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Carpinus betulus;57;18.14;;;;;;;;;;Fagus sylvatica;60;19.1;Fagus sylvatica;97;30.88;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Fagus sylvatica;114;36.29;;;;;;;;;;Fagus sylvatica;182;57.93;Quercus petraea;147;46.79;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Fraxinus excelsior;163;51.88;;;;;;;;;;Fagus sylvatica;69;21.96;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Carpinus betulus;36;11.46;;;;;;;;;;Fagus sylvatica;95;30.24;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fagus sylvatica;97;30.88;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fagus sylvatica;55;17.51;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fraxinus excelsior;123;39.15;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fagus sylvatica;87;27.69;;;;;;;;;;;;;;;;;;
